City, Country, AirQuality, WaterPollution
Murmansk, Russia,57.14285714,14.28571429
Reykjavik, Iceland,86.68478261,5.113636364
Tallinn, Estonia,81.8877551,18.61702128
Riga, Latvia,62.5,31.95652174
Bratislava, Slovakia,62.32394366,32.46268657
Budapest, Hungary,40.61032864,32.375
Gdansk, Poland,45.55555556,45
Frankfurt, Germany,63.39285714,25.98039216
Wroclaw, Poland,25.68807339,35.4368932
Kochi, India,36.5625,68.40277778
Baguio, Philippines,26.88679245,66.4893617
Kaliningrad, Russia,55,55
Luxembourg, Luxembourg,83.10810811,20.45454545
Vaduz, Liechtenstein,100,0
San Marino, San Marino,87.5,50
Phnom Penh, Cambodia,26.06382979,70.83333333
Arkhangelsk, Russia,43.75,50
Ho Chi Minh City, Vietnam,12.21910112,77.76162791
Hanoi, Vietnam,15.70247934,77.35042735
Bangkok, Thailand,26.85185185,70.83333333
Andorra la Vella, Andorra,37.5,25
Kuala Lumpur, Malaysia,39.43452381,65.68322981
Taipei, Taiwan,52.47933884,44.87179487
Odessa, Ukraine,50.5,58.85416667
Concepcion, Chile,55.76923077,33.33333333
Bologna, Italy,38.15789474,28.03030303
Petrozavodsk, Russia,58.33333333,25
Cagliari, Italy,71.05263158,20
Catania, Italy,46.42857143,55.55555556
Caserta, Italy,34.375,56.25
Ottawa, Canada,84.56375839,27.99295775
Juba, South Sudan,62.5,75
Yerevan, Armenia,41.81034483,35
Vologda, Russia,62.5,25
Dar es Salaam, Tanzania,46.875,76
Khartoum, Sudan,42.85714286,78.125
Verona, Italy,36.11111111,42.85714286
Iqaluit, Canada,50,50
Florence, Italy,52.67857143,36
Whitehorse, Canada,92.5,12.5
Yellowknife, Canada,87.5,43.75
Essen, Germany,80,4.166666667
Leipzig, Germany,84.21052632,20
St. John's, Canada,90.625,35.41666667
Nuremberg, Germany,75,12.5
Edmonton, Canada,72.03703704,27.46212121
Duisburg, Germany,53.57142857,31.25
Bochum, Germany,68.18181818,25
Wuppertal, Germany,90,0
Bielefeld, Germany,67.85714286,50
Mannheim, Germany,51.08695652,30.55555556
Regina, Canada,68.57142857,42.74193548
Charlottetown, Canada,97.5,20
Victoria, Canada,92.72151899,27.7027027
Winnipeg, Canada,71.31147541,42.64705882
Fredericton, Canada,90,31.25
Halifax, Canada,84.57446809,36.25
Cherepovets, Russia,0,100
Quebec City, Canada,82.5,43.75
Arica, Chile,75,50
Pskov, Russia,100,50
Veliky Novgorod, Russia,100,50
Birmingham, United Kingdom,52.97619048,25.64102564
Minsk, Belarus,60.9223301,41.40625
Tver, Russia,62.5,37.5
Smolensk, Russia,50,54.16666667
Yaroslavl, Russia,16.66666667,58.33333333
Mogadishu, Somalia,60,57.5
Nassau, The Bahamas,50,59.25925926
Sanaa, Yemen,41.66666667,91.66666667
Ivanovo, Russia,33.33333333,87.5
Naples, Italy,28.84615385,55.31914894
Palermo, Italy,45.45454545,51.31578947
Gomel, Belarus,44.73684211,53.57142857
Parma, Italy,34.375,56.81818182
Vladimir, Russia,37.5,50
Pescara, Italy,61.11111111,79.16666667
Bremerhaven, Germany,75,50
M?nster, Germany,71.875,25
Ryazan, Russia,0,91.66666667
Augsburg, Germany,73.52941176,26.92307692
Siena, Italy,81.25,21.42857143
Gelsenkirchen, Germany,62.5,50
Tula, Russia,33.33333333,75
Udine, Italy,72.5,33.33333333
Chemnitz, Germany,87.5,50
Krefeld, Germany,87.5,50
Madrid, Spain,36.23417722,18.95424837
Halle (Saale), Germany,75,0
Freiburg im Breisgau, Germany,88.33333333,5
Oberhausen, Germany,62.5,50
Bogota, Colombia,23.35025381,48.15789474
L?beck, Germany,100,25
Brasilia, Brazil,76.53061224,38.04347826
Rostock, Germany,90.625,37.5
Kassel, Germany,75,50
Lima, Peru,19.75,76.04166667
Hagen, Germany,100,50
Hamm, Germany,87.5,50
Santiago, Chile,17.71523179,40.23972603
Quito, Ecuador,35.86956522,53.07692308
Ludwigshafen, Germany,75,0
Osnabr?ck, Germany,82.14285714,0
Asuncion, Paraguay,39.65517241,67
Oldenburg, Germany,75,18.75
Leverkusen, Germany,83.33333333,50
Solingen, Germany,87.5,50
Neuss, Germany,50,75
Heidelberg, Germany,89.28571429,25
Paderborn, Germany,75,25
Darmstadt, Germany,71.875,27.5
Regensburg, Germany,87.5,7.142857143
Paramaribo, Suriname,61.36363636,54.54545455
Ingolstadt, Germany,100,0
Ulm, Germany,88.88888889,10
Wolfsburg, Germany,96.875,0
Kathmandu, Nepal,11.46341463,80.45685279
Offenbach am Main, Germany,75,50
Belmopan, Belize,62.5,54.16666667
Pforzheim, Germany,85,25
Recklinghausen, Germany,100,50
Bottrop, Germany,80,0
San Jose, Costa Rica,57.43243243,46.09375
Reutlingen, Germany,85,25
Koblenz, Germany,67.85714286,41.66666667
San Salvador, El Salvador,18.42105263,76.5625
Canberra, Australia,90.74675325,17.80821918
Erlangen, Germany,81.25,29.16666667
Sydney, Australia,75.88996764,28.54785479
Moers, Germany,62.5,50
Trier, Germany,85.71428571,25
